x_coor;y_coor;dip_azi;dip;thick;throw;depth_mid;h1;h2;h3;h4;h5;h6;h7;f_s1;f_s2;f_s3;f_s4;f_s5;f_s6;f_s7;f_d1;f_d2;f_d3;f_d4;f_d5;f_d6;f_d7;d_c1;d_c2;d_c3;d_c4;d_c5;d_c6;d_c7;sv_grad1;sv_grad2;sv_grad3;sv_grad4;sv_grad5;sv_grad6;sv_grad7;shsv1;shsv2;shsv3;shsv4;shsv5;shsv6;shsv7
247575.2181;593107.0391;64.64828988;69.03429944;189.4675406;34.57335355;-3014.843866;-2799.83;-2836.87;-2867.34;-2904.19;-2936.55;-3092.02;-3128.05;0.75;0.5;0.35;0.52;0.72;0.61;0.5;0.35;0.3;0.25;0.275;0.35;0.35;0.37;0.03;0.06;0.08;0.07;0.05;0.07;0.08;22;22;22;22;22;22;22;0.9;0.9;0.8;0.8;0.75;0.82;0.82
247556.648;593155.2665;63.51848089;69.11102092;187.9393234;39.37247016;-3014.657441;-2801.1;-2835.45;-2870.6;-2902.32;-2939.68;-3088.59;-3129.7;0.75;0.5;0.35;0.52;0.72;0.61;0.5;0.35;0.3;0.25;0.275;0.35;0.35;0.37;0.03;0.06;0.08;0.07;0.05;0.07;0.08;22;22;22;22;22;22;22;0.9;0.9;0.8;0.8;0.75;0.82;0.82
247533.6913;593198.1922;62.72991908;69.6757949;186.1768172;44.21659851;-3013.675672;-2803.32;-2832.96;-2873.87;-2899.5;-2942.7;-3084.03;-3130.29;0.75;0.5;0.35;0.52;0.72;0.61;0.5;0.35;0.3;0.25;0.275;0.35;0.35;0.37;0.03;0.06;0.08;0.07;0.05;0.07;0.08;22;22;22;22;22;22;22;0.9;0.9;0.8;0.8;0.75;0.82;0.82
247506.3506;593235.8192;61.96899968;70.65306049;184.4996572;48.16600672;-3011.961985;-2806.33;-2830.04;-2876.28;-2896.15;-2943.82;-3079.1;-3129.57;0.75;0.5;0.35;0.52;0.72;0.61;0.5;0.35;0.3;0.25;0.275;0.35;0.35;0.37;0.03;0.06;0.08;0.07;0.05;0.07;0.08;22;22;22;22;22;22;22;0.9;0.9;0.8;0.8;0.75;0.82;0.82
247474.8645;593268.4361;60.81326439;71.64796278;183.1526683;50.35196281;-3009.911742;-2807.06;-2827.3;-2876.33;-2893.15;-2943.46;-3074.68;-3127.68;0.75;0.5;0.35;0.52;0.72;0.61;0.5;0.35;0.3;0.25;0.275;0.35;0.35;0.37;0.03;0.06;0.08;0.07;0.05;0.07;0.08;22;22;22;22;22;22;22;0.9;0.9;0.8;0.8;0.75;0.82;0.82
247440.8843;593298.0384;59.75017983;72.660159;182.2105208;50.38588747;-3007.986624;-2806.58;-2825.88;-2874.98;-2891.65;-2941.92;-3072.71;-3125.04;0.75;0.5;0.35;0.52;0.72;0.61;0.5;0.35;0.3;0.25;0.275;0.35;0.35;0.37;0.03;0.06;0.08;0.07;0.05;0.07;0.08;22;22;22;22;22;22;22;0.9;0.9;0.8;0.8;0.75;0.82;0.82
247401.833;593321.5116;59.07349491;73.51459121;181.5834817;48.56362887;-3006.382357;-2806.92;-2825.31;-2872.98;-2891.36;-2939.51;-3071.79;-3122.07;0.75;0.5;0.35;0.52;0.72;0.61;0.5;0.35;0.3;0.25;0.275;0.35;0.35;0.37;0.03;0.06;0.08;0.07;0.05;0.07;0.08;22;22;22;22;22;22;22;0.9;0.9;0.8;0.8;0.75;0.82;0.82
247361.9985;593344.0384;58.33754048;73.738264;181.2504744;45.49727576;-3005.094467;-2805.84;-2825.91;-2870.03;-2892.05;-2936.99;-3072.24;-3118.78;0.75;0.5;0.35;0.52;0.72;0.61;0.5;0.35;0.3;0.25;0.275;0.35;0.35;0.37;0.03;0.06;0.08;0.07;0.05;0.07;0.08;22;22;22;22;22;22;22;0.9;0.9;0.8;0.8;0.75;0.82;0.82
247322.1815;593366.5862;56.79854652;73.51443003;181.3071577;41.77449337;-3004.062567;-2804.41;-2826.69;-2867.14;-2892.78;-2933.91;-3073.12;-3115.83;0.75;0.5;0.35;0.52;0.72;0.61;0.5;0.35;0.3;0.25;0.275;0.35;0.35;0.37;0.03;0.06;0.08;0.07;0.05;0.07;0.08;22;22;22;22;22;22;22;0.9;0.9;0.8;0.8;0.75;0.82;0.82
247286.1917;593393.7596;54.4678124;72.93435635;181.7293942;37.82507682;-3003.263556;-2801.86;-2827.51;-2863.85;-2893.98;-2930.8;-3074.66;-3113.3;0.75;0.5;0.35;0.52;0.72;0.61;0.5;0.35;0.3;0.25;0.275;0.35;0.35;0.37;0.03;0.06;0.08;0.07;0.05;0.07;0.08;22;22;22;22;22;22;22;0.9;0.9;0.8;0.8;0.75;0.82;0.82
247252.5699;593423.7951;52.13191993;71.98623263;182.2993469;34.05951976;-3002.665994;-2798.97;-2828.09;-2859.8;-2894.75;-2927.96;-3076.62;-3110.95;0.75;0.5;0.35;0.52;0.72;0.61;0.5;0.35;0.3;0.25;0.275;0.35;0.35;0.37;0.03;0.06;0.08;0.07;0.05;0.07;0.08;22;22;22;22;22;22;22;0.9;0.9;0.8;0.8;0.75;0.82;0.82
247218.2014;593452.9281;49.88811151;71.08198823;182.6036535;31.08893602;-3002.216713;-2797.68;-2828.48;-2857.14;-2895.83;-2925.49;-3078.27;-3109.05;0.75;0.5;0.35;0.52;0.72;0.61;0.5;0.35;0.3;0.25;0.275;0.35;0.35;0.37;0.03;0.06;0.08;0.07;0.05;0.07;0.08;22;22;22;22;22;22;22;0.9;0.9;0.8;0.8;0.75;0.82;0.82
247182.5547;593480.5163;47.71835816;70.5497628;182.2349986;29.79490896;-3001.70569;-2796.5;-2828.63;-2855.73;-2896.51;-2924.8;-3079.11;-3107.62;0.75;0.5;0.35;0.52;0.72;0.61;0.5;0.35;0.3;0.25;0.275;0.35;0.35;0.37;0.03;0.06;0.08;0.07;0.05;0.07;0.08;22;22;22;22;22;22;22;0.9;0.9;0.8;0.8;0.75;0.82;0.82
247144.1433;593504.7631;46.27345336;70.53690258;181.1117828;30.74428499;-3000.74864;-2796.32;-2828.05;-2856.85;-2895.43;-2925.42;-3077.01;-3106.56;0.75;0.5;0.35;0.52;0.72;0.61;0.5;0.35;0.3;0.25;0.275;0.35;0.35;0.37;0.03;0.06;0.08;0.07;0.05;0.07;0.08;22;22;22;22;22;22;22;0.9;0.9;0.8;0.8;0.75;0.82;0.82
247104.0951;593527.0314;45.48870892;70.87156701;179.6060911;33.64136605;-2999.114538;-2795.44;-2825.71;-2858.51;-2893.22;-2926.4;-3072.89;-3105.58;0.75;0.5;0.35;0.52;0.72;0.61;0.5;0.35;0.3;0.25;0.275;0.35;0.35;0.37;0.03;0.06;0.08;0.07;0.05;0.07;0.08;22;22;22;22;22;22;22;0.9;0.9;0.8;0.8;0.75;0.82;0.82
247062.9731;593548.002;44.84928366;71.423178;178.2631553;37.42282745;-2996.951994;-2795.05;-2822.26;-2859.47;-2888.7;-2927.08;-3067.14;-3104.68;0.75;0.5;0.35;0.52;0.72;0.61;0.5;0.35;0.3;0.25;0.275;0.35;0.35;0.37;0.03;0.06;0.08;0.07;0.05;0.07;0.08;22;22;22;22;22;22;22;0.9;0.9;0.8;0.8;0.75;0.82;0.82
247022.2446;593569.448;44.44067911;72.13998376;177.455333;40.51900447;-2994.80282;-2795.46;-2819.3;-2859.93;-2885.29;-2926.64;-3062.04;-3103.91;0.75;0.5;0.35;0.52;0.72;0.61;0.5;0.35;0.3;0.25;0.275;0.35;0.35;0.37;0.03;0.06;0.08;0.07;0.05;0.07;0.08;22;22;22;22;22;22;22;0.9;0.9;0.8;0.8;0.75;0.82;0.82
246983.5816;593593.3906;44.45722742;72.498264;177.3837236;41.86348704;-2993.191216;-2794.37;-2817.69;-2858.97;-2883.22;-2925.33;-3059.47;-3103.08;0.75;0.5;0.35;0.52;0.72;0.61;0.5;0.35;0.3;0.25;0.275;0.35;0.35;0.37;0.03;0.06;0.08;0.07;0.05;0.07;0.08;22;22;22;22;22;22;22;0.9;0.9;0.8;0.8;0.75;0.82;0.82
246947.6103;593620.5865;44.7454207;71.98026284;178.028044;41.47129036;-2992.352701;-2791.97;-2816.68;-2856.38;-2882.45;-2923.67;-3059.4;-3102.24;0.75;0.5;0.35;0.52;0.72;0.61;0.5;0.35;0.3;0.25;0.275;0.35;0.35;0.37;0.03;0.06;0.08;0.07;0.05;0.07;0.08;22;22;22;22;22;22;22;0.9;0.9;0.8;0.8;0.75;0.82;0.82
246914.3634;593651.0751;44.80439071;70.92550771;179.1293513;40.26678902;-2992.282301;-2788.89;-2816.8;-2853.77;-2883.02;-2921.79;-3061.02;-3101.98;0.75;0.5;0.35;0.52;0.72;0.61;0.5;0.35;0.3;0.25;0.275;0.35;0.35;0.37;0.03;0.06;0.08;0.07;0.05;0.07;0.08;22;22;22;22;22;22;22;0.9;0.9;0.8;0.8;0.75;0.82;0.82
246883.3576;593684.2724;44.70362706;69.93539623;180.190545;39.63252267;-2992.735199;-2784.94;-2816.97;-2852.49;-2883.5;-2921.36;-3063.29;-3102.76;0.75;0.5;0.35;0.52;0.72;0.61;0.5;0.35;0.3;0.25;0.275;0.35;0.35;0.37;0.03;0.06;0.08;0.07;0.05;0.07;0.08;22;22;22;22;22;22;22;0.9;0.9;0.8;0.8;0.75;0.82;0.82
246849.1403;593713.5882;44.84287689;69.40187615;180.6550751;40.56863749;-2993.232496;-2780.3;-2816.25;-2853.08;-2883.19;-2922.62;-3064.13;-3103.96;0.75;0.5;0.35;0.52;0.72;0.61;0.5;0.35;0.3;0.25;0.275;0.35;0.35;0.37;0.03;0.06;0.08;0.07;0.05;0.07;0.08;22;22;22;22;22;22;22;0.9;0.9;0.8;0.8;0.75;0.82;0.82
246808.8819;593735.6025;44.8029501;69.86861558;180.3752339;43.30033065;-2993.23652;-2777.31;-2814.67;-2855.89;-2882.16;-2924.79;-3063;-3105.17;0.75;0.5;0.35;0.52;0.72;0.61;0.5;0.35;0.3;0.25;0.275;0.35;0.35;0.37;0.03;0.06;0.08;0.07;0.05;0.07;0.08;22;22;22;22;22;22;22;0.9;0.9;0.8;0.8;0.75;0.82;0.82
246763.5817;593751.5231;44.20909242;71.61482444;179.784648;47.21525264;-2992.397997;-2777.77;-2812.4;-2859.44;-2879.09;-2927.14;-3059.19;-3106;0.75;0.5;0.35;0.52;0.72;0.61;0.5;0.35;0.3;0.25;0.275;0.35;0.35;0.37;0.03;0.06;0.08;0.07;0.05;0.07;0.08;22;22;22;22;22;22;22;0.9;0.9;0.8;0.8;0.75;0.82;0.82
246718.7608;593768.0232;43.71487768;74.07728714;179.478025;50.75852925;-2990.913548;-2779;-2809.09;-2860.35;-2875.24;-2927.25;-3054.54;-3106.4;0.75;0.5;0.35;0.52;0.72;0.61;0.5;0.35;0.3;0.25;0.275;0.35;0.35;0.37;0.03;0.06;0.08;0.07;0.05;0.07;0.08;22;22;22;22;22;22;22;0.9;0.9;0.8;0.8;0.75;0.82;0.82
