X,Y,Thickness
240414.55,568881.53,41.83
240914.55,568881.53,37.77
241414.55,568881.53,36.13
241914.55,568881.53,35.13
242414.55,568881.53,35.64
242914.55,568881.53,35.26
243414.55,568881.53,34.67
243914.55,568881.53,29.2
244414.55,568881.53,29.93
244914.55,568881.53,28.09
245414.55,568881.53,24.72
245914.55,568881.53,17.9
246414.55,568881.53,9.88
246914.55,568881.53,13.03
247414.55,568881.53,11.09
247914.55,568881.53,7.35
248414.55,568881.53,7.26
248914.55,568881.53,4.41
249414.55,568881.53,4.64
249914.55,568881.53,5.14
250414.55,568881.53,5.24
250914.55,568881.53,9.2
251414.55,568881.53,15.41
251914.55,568881.53,24.31
252414.55,568881.53,38.73
252914.55,568881.53,46.92
253414.55,568881.53,47.15
253914.55,568881.53,52.25
254414.55,568881.53,46.23
254914.55,568881.53,42.3
255414.55,568881.53,56.69
255914.55,568881.53,23.82
256414.55,568881.53,16.86
256914.55,568881.53,15.07
257414.55,568881.53,20.12
257914.55,568881.53,19.78
258414.55,568881.53,14.52
258914.55,568881.53,26.23
259414.55,568881.53,72.5
259914.55,568881.53,25.48
260414.55,568881.53,45.55
260914.55,568881.53,27.83
261414.55,568881.53,22.16
261914.55,568881.53,12.96
262414.55,568881.53,9.98
262914.55,568881.53,10.15
263414.55,568881.53,15.79
263914.55,568881.53,13.82
264414.55,568881.53,21.55
264914.55,568881.53,52.83
265414.55,568881.53,55.99
265914.55,568881.53,50.61
266414.55,568881.53,44.66
266914.55,568881.53,30.01
267414.55,568881.53,29.92
267914.55,568881.53,32.26
268414.55,568881.53,46.95
268914.55,568881.53,59.2
269414.55,568881.53,63.95
234414.55,569381.53,38.27
234914.55,569381.53,42.51
235414.55,569381.53,44.53
235914.55,569381.53,43.44
236414.55,569381.53,44.59
236914.55,569381.53,45.8
237414.55,569381.53,45.16
237914.55,569381.53,44.85
238414.55,569381.53,45.23
238914.55,569381.53,44.68
239414.55,569381.53,45.4
239914.55,569381.53,47.37
240414.55,569381.53,45.21
240914.55,569381.53,39.82
241414.55,569381.53,36.27
241914.55,569381.53,36.04
242414.55,569381.53,36.94
242914.55,569381.53,37.58
243414.55,569381.53,35.26
243914.55,569381.53,29.44
244414.55,569381.53,30.41
244914.55,569381.53,29.52
245414.55,569381.53,27.51
245914.55,569381.53,24.28
246414.55,569381.53,16.72
246914.55,569381.53,16.11
247414.55,569381.53,14.17
247914.55,569381.53,10.88
248414.55,569381.53,10.76
248914.55,569381.53,8.63
249414.55,569381.53,6.96
249914.55,569381.53,7.71
250414.55,569381.53,9.41
250914.55,569381.53,10.54
251414.55,569381.53,16.68
251914.55,569381.53,20.83
